Date,Open,High,Low,Close,Volume,Change
2013-06-05,21623,21687,21370,21385,8890339,-0.013607011070110753
2013-06-07,21310,21583,20918,20925,18097218,-0.021510404489127888
2013-06-10,20971,21041,20905,21032,24297915,0.005113500597371479
2013-06-11,21054,21057,20736,20884,10175818,-0.007036896158235106
2013-06-12,20772,20875,20677,20708,8152829,-0.008427504309519218
2013-06-13,20693,20698,20398,20423,24216251,-0.013762796986671821
2013-06-14,20507,20574,20356,20440,26377037,0.0008323948489448174
2013-06-17,20458,20591,20369,20423,11775467,-0.0008317025440313097
2013-06-18,20458,20574,20315,20589,7224638,0.00812809087793176
2013-06-19,20578,20599,20389,20485,8333781,-0.00505124095390741
2013-06-20,20260,20265,19948,19993,12189546,-0.024017573834513084
2013-06-21,19664,19716,19533,19691,17571165,-0.015105286850397692
2013-06-24,19716,19716,19474,19504,13803325,-0.009496724391854117
2013-06-25,19439,19643,19249,19361,11966834,-0.0073318293683346525
2013-06-26,19514,19519,19232,19302,12346699,-0.0030473632560301667
2013-06-27,19542,19913,19528,19891,12093090,0.030514972541705543
2013-06-28,19931,20257,19931,20154,8643938,0.013222060228244015
2013-07-01,19968,20187,19968,20136,8387577,-0.0008931229532599394
2013-07-02,20175,20225,20019,20118,8012773,-0.0008939213349224984
2013-07-03,20095,20126,19682,19755,10709513,-0.018043543095735193
2013-07-04,19785,19922,19741,19879,5612759,0.006276891926094708
2013-07-05,20007,20095,19720,19821,5290647,-0.002917651793349796
2013-07-08,19731,19893,19510,19626,8176769,-0.009838050552444355
2013-07-09,19748,19797,19561,19798,6832181,0.008763884642820852
2013-07-10,19804,19828,19578,19645,5289900,-0.007728053338721064
2013-07-11,19944,20343,19813,20328,10635637,0.03476711631458396
2013-07-12,20239,20296,20144,20205,4030802,-0.0060507674144038015
2013-07-15,20191,20343,19922,20255,8252152,0.002474634991338709
2013-07-16,20271,20292,20082,20172,5524742,-0.004097753641076229
2013-07-17,20183,20495,20016,20367,10926690,0.00966686496133251
2013-07-18,20332,20332,20162,20213,7424652,-0.007561251043354478
2013-07-19,20271,20296,20019,20192,6873815,-0.0010389353386434097
2013-07-22,20279,20466,20199,20255,7656740,0.003120047543581528
2013-07-23,20288,20581,20271,20537,8784077,0.013922488274500155
2013-07-24,20515,20625,20487,20618,10551434,0.003944100891074553
2013-07-25,20554,20684,20512,20618,6788675,0.0
2013-07-26,20677,20709,20541,20653,3915058,0.0016975458337376015
2013-07-29,20633,20667,20511,20589,4247588,-0.0030988234154843974
2013-07-30,20610,20742,20549,20734,7412196,0.007042595560736276
2013-07-31,20689,20749,20625,20682,6065519,-0.0025079579434744703
2013-08-01,20664,20812,20523,20703,5070437,0.0010153756890050047
2013-08-02,20816,20910,20722,20805,6316850,0.004926822199681213
2013-08-05,20749,20816,20677,20692,5932437,-0.005431386685892825
2013-08-06,20656,20656,20398,20494,7019405,-0.009568915522907395
